tag,model,seed,status,wall_clock_min,metrics_mse,metrics_mae,metrics_mspe,pred_sha256,true_sha256,dir,ingested_orphan
AAPL,DeReFusion,2021,ok,70.19,0.0843646675,0.2230605185,0.0120858159,cda7693d8edbf88037f2c645ed8f73b408657d87247ebbd5ccdd5b35adb1c102,3b60605d2537bf983f5063d7447ed9d8698ee548185f47bf64ddfe8d11154070,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\AAPL_DeReFusion,1
AAPL,revin-DLinear,2021,ok,75.26,0.0834380910,0.2241885811,0.0115922866,a6cb22ae31eb0e6d2415f2ef1552de5aaa749130ee1124429cecd2bcbab65b55,3b60605d2537bf983f5063d7447ed9d8698ee548185f47bf64ddfe8d11154070,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\AAPL_revin-DLinear,1
AMZN,DeReFusion,2021,ok,40.14,0.0862515196,0.2238739729,0.0199377183,a2df4efd111f29de836c6c5f3473c83da84d92305c1ed76db02fb383703b1324,34455312abb45725ea25d01625df31e473c955653ee1090c87e7d6a6ecab8e12,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\AMZN_DeReFusion,0
AMZN,revin-DLinear,2021,stall,33.21,,,,,,,0
AUDUSD,DeReFusion,2021,ok,40.13,0.0842101499,0.2273493111,0.0269190371,a436acb1137d947d35b9c59e5d01ce7ece9ca14a094537f63050741118df8d5d,c3c695c27683281aa78120880d9f788cb177639289eb2c159a9d73668330d8f8,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\AUDUSD_DeReFusion,0
AUDUSD,revin-DLinear,2021,stall,15.09,,,,,,,0
FTSE,DeReFusion,2021,ok,22.14,0.2162875980,0.3517850637,0.0379254147,29ad0514df70aa756fdb35aecb0b18e4970383cd9690d338052a804e82c9a52c,eb92d5a70620185a8541c0869763fa5e0405a9cd21a42cab830ab43ffa581789,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\FTSE_DeReFusion,0
FTSE,revin-DLinear,2021,ok,28.15,0.1898346990,0.3321080804,0.0331564322,b3d29fb404baea03b803827ce64608ce9aad6a5cf8b1caf23ddf54a0c840f55e,eb92d5a70620185a8541c0869763fa5e0405a9cd21a42cab830ab43ffa581789,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\FTSE_revin-DLinear,0
GBPUSD,DeReFusion,2021,ok,59.3,0.0826699138,0.2290194631,47.0160026550,0df6d0fea056306d0f79b3e401da9e81b101320f727bc15f977eec6ba2bfb082,c0f5cebda66209458a3e36de36f8b67e81084b6759f8ab4f4749a8edc693f566,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\GBPUSD_DeReFusion,0
GBPUSD,revin-DLinear,2021,ok,56.3,0.0895344689,0.2385022640,47.6295394897,beddcb2372cba9338f7d1c3bf274fe07cd44c1d743a53d2b7ad9103480c9fe28,c0f5cebda66209458a3e36de36f8b67e81084b6759f8ab4f4749a8edc693f566,C:\Users\geng\lobster-link\geng-lobster\T005-c1\2021\GBPUSD_revin-DLinear,0
